355.3	62.4	298	63.8	223.9	23.3
3	45.3	331.4	56.5	223.9	23.3
349.8	46.3	319	51.3	223.9	23.3
9	52.8	326.8	64.6	223.9	23.3
2.3	35.9	339.7	48.5	223.9	23.3
10.1	42.4	342	57.3	223.9	23.3
343.5	54.3	304.6	54.2	223.9	23.3
5.8	39.3	340.5	52.9	223.9	23.3
354	31.8	334.4	41.6	223.9	23.3
29.1	39.5	9.9	62	223.9	23.3
343.3	28.3	327.3	33.6	223.9	23.3
346	48	313.7	50.9	223.9	23.3
346	48	313.7	50.9	223.9	23.3
359.1	70.2	281.6	67.9	223.9	23.3
351.3	26	335.8	35.3	223.9	23.3
10.8	20.4	358.3	37.8	223.9	23.3
345	26.3	330	33.2	223.9	23.3
343.3	49.4	323	37.7	223.9	23.3
337.6	47	320.1	33.3	271.2	23.0
337.5	44.8	321.6	31.9	271.2	23.0
334.1	44.7	318.8	30.5	271.2	23.0
343.9	57.6	317.7	44.7	271.2	23.0
335.4	54.2	314.6	39.2	271.2	23.0
357.2	19.1	349.7	15.5	271.2	23.0
348.4	44.4	329.7	34.9	271.2	23.0
349.4	50.5	326.6	40.7	271.2	23.0
340.8	65.2	309.5	50.1	271.2	23.0
334.6	49.3	316.8	34.9	271.2	23.0
354.3	50.4	330.6	42	271.2	23.0
358.1	37.4	342	31.1	271.2	23.0
3.7	53.9	333.8	48.2	271.2	23.0
360	41.6	340.7	36.5	271.2	23.0
19	37.9	359.2	41	271.2	23.0
339.8	48	321.3	35.2	271.2	23.0
351.1	53.2	326	43.3	271.2	23.0
338.1	48.9	319.6	35.2	271.2	23.0
351.1	50.5	327.8	41.1	271.2	23.0
351.3	52.1	326.7	42.5	271.2	23.0
334.8	55.3	313.4	40.3	271.2	23.0
0.6	59.3	326.7	51.3	271.2	23.0
351.3	49.1	329.1	39.8	271.2	23.0
338.3	42.4	323	29.7	271.2	23.0
353.2	36.6	351.6	-31.7	330.0	74.6
358.5	13.8	14.8	-47.3	330.0	74.6
3	33	2.1	-30	330.0	74.6
351.7	41.5	347.9	-28.1	330.0	74.6
0.7	44.4	352.4	-22.2	330.0	74.6
3.1	32.7	2.4	-30.1	330.0	74.6
2.9	44.4	354	-21.2	330.0	74.6
1.8	35	359.3	-29.5	330.0	74.6
3.7	30.4	4.2	-31.8	330.0	74.6
351	47.1	344.5	-23.2	330.0	74.6
352.5	43	347.8	-26.7	330.0	74.6
351.6	54	341.8	-16.7	330.0	74.6
344.5	57.7	336.5	-14.8	330.0	74.6
349.7	46	344.4	-24.8	330.0	74.6
349.6	52.8	341.4	-18.6	330.0	74.6
358.5	31.2	359.7	-33.9	330.0	74.6
8.8	43.5	358.8	-19.9	330.0	74.6
351.8	51.7	342.8	-18.8	330.0	74.6
346.3	53.8	339	-18.3	330.0	74.6
349.1	64.4	336.5	-7.8	330.0	74.6
8.4	35.9	3.3	-25.1	330.0	74.6
10.8	46.4	356.4	-16	330.0	74.6
3.1	45.2	353.4	-20.2	330.0	74.6
21.5	51.2	357.9	-7.6	330.0	74.6
22.5	57.7	353.2	-3.4	330.0	74.6
