Pole_ID,Pole_name,Age,Age_mean,Plat,Plong,A95,Euler_lat,Euler_lon,Euler_angle
LT_upper,Upper Liantuo Fm,<779.52 + 0.92,779.52,19.6,144.4,4.2,-68.2634,-26.6226,60.2405
LT_lower,Lower Liantuo Fm,779.52 + 0.92,779.52,24.9,136.4,6.6,-60.193,-44.2136,61.8704
CJ,Chengjiang Fm,799.5 + 8.4,799.5,29.7,75.3,7.9,-31.0633,-64.6471,81.9334
MDY,Madiyi Fm,804.9 + 0.99,804.9,34.7,82,6.7,-27.3533,-60.0955,71.0936
XJ,Xiajiang Group,816-810,813,42.7,104,8.1,-27.8028,-54.65,64.3143
XF_Li,Xiaofeng dykes (Jing et al.l 2019),821.64 + 0.3,821.64,13.5,91,10.89265808,-44.8281,-56.7549,104.696
FJS,Fanjingshan dykes,832.51 + 0.32,832.51,-34.7,118.2,8.6,45.1582,171.1137,-122.9649
